siteID,length,stratum,observer,vegheight,
2440,50.2574,4,JB,Short,#N/A
2425,119.70293,5,JB,Short,#N/A
2426,43.19948,2,JB,Short,#N/A
2427,29.11653,3,JB,Short,#N/A
2428,84.13541,3,JB,Short,#N/A
2429,87.07247,8,JB,Short,#N/A
2430,31.12291,5,JB,Tall,#N/A
2431,86.43157,5,JB,Short,#N/A
2432,29.40221,5,JB,Short,1
2417,29.69218,8,JB,Short,#N/A
2418,2.81798,5,JB,Tall,#N/A
2419,27.42458,8,JB,Tall,#N/A
2420,26.64105,6,JB,Tall,#N/A
2421,2.58259,5,JB,Short,#N/A
2422,33.58932,5,JB,Short,#N/A
2423,0.75679,5,JB,Short,#N/A
2424,1.06192,5,JB,Short,#N/A
2409,3.7738,2,JB,Short,#N/A
2410,63.00431,2,JB,Short,1
2411,32.85486,3,JB,Short,#N/A
2412,50.07807,3,JB,Short,#N/A
2413,32.05373,8,JB,Short,1
2414,30.88207,8,JB,Short,#N/A
2415,113.81391,8,JB,Short,1
2416,121.94256,5,JB,Short,#N/A
2401,29.48825,8,JB,Short,#N/A
2402,60.33894,8,JB,Short,1
2403,43.40547,5,JB,Short,#N/A
2404,0.27976,5,JB,Short,#N/A
2405,27.41147,5,JB,Short,1
2406,174.6763,5,JB,Short,1
2407,69.42715,2,JB,Short,1
2408,32.82766,2,JB,Short,1
2393,28.30401,2,JB,Short,1
2394,85.01565,2,JB,Short,#N/A
2395,29.68696,8,JB,Short,1
2396,100.40895,5,JB,Short,1
2397,52.50162,5,JB,Short,1
2398,59.03369,3,JB,Short,#N/A
2399,29.24256,3,JB,Short,#N/A
2400,30.50092,1,JB,Short,1
2385,28.43332,2,JB,Short,#N/A
2386,28.39208,3,JB,Short,#N/A
2387,24.95538,3,JB,Short,1
2388,2.15302,3,JB,Short,#N/A
2389,4.2546,3,JB,Short,#N/A
2390,30.01852,3,JB,Short,1
2391,352.61238,5,JB,Short,1
2392,114.29366,5,JB,Short,1
2377,29.21331,6,JB,Short,#N/A
2378,114.39585,6,JB,Short,#N/A
2379,30.51642,4,JB,Short,#N/A
2380,71.79784,5,JB,Short,#N/A
2381,114.41362,5,JB,Short,1
2382,116.98682,5,JB,Short,1
2383,229.2867,5,JB,Short,1
2384,105.15736,5,JB,Short,1
2369,18.74188,8,JB,Short,#N/A
2370,29.61045,8,JB,Short,#N/A
2371,1.57008,8,JB,Short,#N/A
2372,60.51879,8,JB,Short,1
2373,29.3075,6,JB,Short,#N/A
2374,10.63517,6,JB,Short,#N/A
2375,56.93698,6,JB,Short,#N/A
2376,5.12185,6,JB,Short,#N/A
2361,28.82403,5,JB,Short,#N/A
2362,43.01991,5,JB,Short,#N/A
2363,29.36505,2,JB,Short,#N/A
2364,58.70929,2,JB,Short,#N/A
2365,62.16651,3,JB,Short,1
2366,57.0533,3,JB,Short,#N/A
2367,16.68497,3,JB,Short,#N/A
2368,6.04011,1,JB,Short,#N/A
2353,114.45076,1,JB,Short,#N/A
2354,25.21,1,JB,Short,#N/A
2355,59.69146,8,JB,Short,#N/A
2356,82.22993,8,JB,Short,#N/A
2357,73.18919,5,JB,Short,#N/A
2358,22.78265,5,JB,Short,#N/A
2359,114.72365,5,JB,Short,1
2360,56.52838,5,JB,Short,#N/A
2345,82.34342,8,JB,Short,1
2346,19.01592,5,JB,Short,#N/A
2347,48.36996,5,JB,Short,#N/A
2348,102.72893,5,JB,Short,#N/A
2349,69.99591,5,JB,Short,#N/A
2350,14.94583,2,JB,Short,#N/A
2351,3.34642,3,JB,Short,#N/A
2352,26.34675,1,JB,Short,#N/A
2337,44.50554,8,JB,Short,#N/A
2338,72.98267,8,JB,Short,1
2339,28.75502,6,JB,Short,1
2340,65.33889,6,JB,Short,#N/A
2341,15.50701,6,JB,Short,1
2342,46.01052,5,JB,Short,1
2343,53.44759,5,JB,Short,#N/A
2344,2.22874,1,JB,Short,#N/A
2329,6.14217,5,JB,Short,#N/A
2330,35.61294,5,JB,Short,#N/A
2331,17.6653,5,JB,Short,#N/A
2332,33.30178,2,JB,Short,1
2333,20.39111,2,JB,Short,1
2334,24.7352,2,JB,Short,#N/A
2335,11.77141,3,JB,Short,#N/A
2336,4.51517,3,JB,Short,#N/A
2321,93.02914,2,PP,Short,1
2322,28.79923,2,PP,Short,#N/A
2323,28.77404,3,PP,Short,#N/A
2324,15.92484,3,PP,Short,#N/A
2325,108.18392,8,PP,Short,1
2326,32.16373,6,PP,Short,#N/A
2327,9.05061,6,PP,Short,#N/A
2328,6.12538,6,PP,Short,#N/A
2313,18.73293,8,PP,Short,1
2314,30.99558,5,PP,Short,1
2315,28.85797,5,PP,Short,#N/A
2316,29.41281,5,PP,Short,#N/A
2317,19.57381,5,PP,Short,#N/A
2318,30.35639,2,PP,Short,1
2319,42.13559,2,PP,Short,#N/A
2320,30.33581,2,PP,Short,#N/A
2305,29.78687,2,PP,Short,#N/A
2306,51.47745,1,PP,Short,1
2307,54.35135,8,PP,Short,1
2308,8.11541,6,PP,Short,#N/A
2309,164.43399,5,PP,Short,1
2310,105.33474,5,PP,Short,1
2311,52.5271,2,PP,Short,#N/A
2312,32.80118,3,PP,Short,#N/A
1785,8.01214,2,JB,Short,#N/A
1786,27.28092,2,JB,Short,#N/A
1787,14.28636,3,JB,Short,#N/A
1788,64.28274,3,JB,Short,#N/A
1789,30.88152,3,JB,Short,#N/A
1790,56.19166,8,JB,Short,#N/A
1791,23.7918,8,JB,Short,#N/A
1792,33.07349,6,JB,Short,#N/A
1777,99.51412,5,JB,Short,1
1778,94.661,5,JB,Short,#N/A
1779,99.48299,5,JB,Short,1
1780,37.54609,5,JB,Short,1
1781,114.11865,5,JB,Short,#N/A
1782,4.74531,2,JB,Short,#N/A
1783,74.68061,2,JB,Short,1
1784,2.61486,2,JB,Short,#N/A
1769,36.04321,6,JB,Short,#N/A
1770,40.05631,6,JB,Short,#N/A
1771,31.38619,6,JB,Short,#N/A
1772,30.47827,6,JB,Short,#N/A
1773,72.48608,6,JB,Short,#N/A
1774,4.40887,4,JB,Short,#N/A
1775,14.29675,5,JB,Short,#N/A
1776,74.15586,5,JB,Short,#N/A
1761,28.20653,8,JB,Short,#N/A
1762,38.73001,8,JB,Short,#N/A
1763,67.45463,8,JB,Short,#N/A
1764,10.43503,8,JB,Short,#N/A
1765,80.87716,8,JB,Short,#N/A
1766,9.98386,8,JB,Short,#N/A
1767,4.43618,8,JB,Short,#N/A
1768,3.0753,6,JB,Short,#N/A
1753,40.12008,3,JB,Short,#N/A
1754,11.02666,3,JB,Short,#N/A
1755,6.99204,3,JB,Short,#N/A
1756,0.38028,3,JB,Short,#N/A
1757,30.93231,3,JB,Short,#N/A
1758,32.19707,3,JB,Short,1
1759,35.59328,1,JB,Short,#N/A
1760,49.69835,8,JB,Short,#N/A
1745,36.94426,2,JB,Short,#N/A
1746,21.94326,2,JB,Short,#N/A
1747,31.42259,2,JB,Short,#N/A
1748,36.74718,2,JB,Short,#N/A
1749,13.99281,2,JB,Short,#N/A
1750,60.48151,2,JB,Short,1
1751,40.48956,3,JB,Short,#N/A
1752,7.79994,3,JB,Short,#N/A
1737,15.53958,6,JB,Short,1
1738,24.6557,6,JB,Short,#N/A
1739,18.99183,5,JB,Short,1
1740,47.88938,5,JB,Short,1
1741,4.34387,5,JB,Short,#N/A
1742,6.90036,5,JB,Short,#N/A
1743,125.73586,5,JB,Short,#N/A
1744,36.52068,2,JB,Short,#N/A
1729,17.24319,5,JB,Short,1
1730,14.5135,5,JB,Short,#N/A
1731,33.11598,2,JB,Short,#N/A
1732,42.99892,2,JB,Short,1
1733,46.79152,3,JB,Short,#N/A
1734,68.16467,8,JB,Short,1
1735,32.47555,6,JB,Short,#N/A
1736,31.42914,6,JB,Short,1
1721,55.6996,8,JB,Short,1
1722,73.61135,8,JB,Short,#N/A
1723,20.20732,8,JB,Short,#N/A
1724,40.41349,6,JB,Short,#N/A
1725,1.30818,4,JB,Short,#N/A
1726,83.93135,4,JB,Short,#N/A
1727,2.65995,4,JB,Short,#N/A
1728,25.11267,5,JB,Short,1
1713,22.264,3,JB,Short,#N/A
1714,32.77025,3,JB,Short,#N/A
1715,36.04934,3,JB,Short,#N/A
1716,18.24619,3,JB,Short,#N/A
1717,31.58545,3,JB,Short,1
1718,26.10338,1,JB,Short,#N/A
1719,5.88489,1,JB,Short,#N/A
1720,306.47516,8,JB,Short,#N/A
1705,43.56686,1,JB,Short,#N/A
1706,28.8924,1,JB,Short,#N/A
1707,2.29208,6,JB,Short,#N/A
1708,28.42745,6,JB,Short,#N/A
1709,21.07476,4,JB,Short,#N/A
1710,437.71112,5,JB,Short,1
1711,36.27563,2,JB,Short,#N/A
1712,38.89465,3,JB,Short,#N/A
1697,2.24096,5,JB,Short,#N/A
1698,28.43652,2,JB,Short,1
1699,0.46768,2,JB,Short,#N/A
1700,54.86417,2,JB,Short,#N/A
1701,64.77267,2,JB,Short,1
1702,2.34966,3,JB,Short,#N/A
1703,0.41561,3,JB,Short,#N/A
1704,28.33423,3,JB,Short,1
1689,15.84359,4,JB,Short,#N/A
1690,45.11212,5,JB,Short,1
1691,91.44832,2,JB,Short,1
1692,155.11206,2,JB,Short,1
1693,33.11273,3,JB,Short,#N/A
1694,58.00693,5,JB,Short,1
1695,85.40886,5,JB,Short,#N/A
1696,54.22778,5,JB,Short,#N/A
1681,14.66956,3,JB,Short,#N/A
1682,57.83989,8,JB,Short,#N/A
1683,57.04719,8,JB,Short,#N/A
1684,23.21357,8,JB,Short,#N/A
1685,9.93905,6,JB,Short,#N/A
1686,66.61676,6,JB,Short,#N/A
1687,30.04628,6,JB,Short,#N/A
1688,59.19863,6,JB,Short,#N/A
1673,29.46735,2,JB,Short,#N/A
1674,20.63665,3,JB,Short,#N/A
1675,31.05611,3,JB,Short,#N/A
1676,6.09512,3,JB,Short,#N/A
1677,28.95685,3,JB,Short,#N/A
1678,34.30176,3,JB,Short,#N/A
1679,28.64308,3,JB,Short,#N/A
1680,42.885,3,JB,Short,#N/A
1665,66.45045,7,JB,Tall,#N/A
1666,67.01521,4,JB,Tall,#N/A
1667,14.88051,4,JB,Tall,#N/A
1668,24.69267,3,JB,Short,#N/A
1669,160.27807,1,JB,Short,#N/A
1670,18.19989,1,JB,Short,#N/A
1671,30.03111,2,JB,Short,#N/A
1672,30.05432,2,JB,Short,#N/A
1657,101.39087,6,JB,Short,#N/A
1658,26.44235,6,JB,Short,#N/A
1659,12.26474,4,JB,Short,#N/A
1660,32.64368,2,JB,Tall,#N/A
1661,18.93533,3,JB,Tall,#N/A
1662,85.05134,1,JB,Tall,#N/A
1663,32.3429,1,JB,Tall,#N/A
1664,0.40587,8,JB,Tall,#N/A
1649,21.09391,8,JB,Short,#N/A
1650,31.03136,8,JB,Short,#N/A
1651,74.10977,8,JB,Short,#N/A
1652,37.3628,8,JB,Short,#N/A
1653,8.77046,6,JB,Short,#N/A
1654,21.54123,6,JB,Short,#N/A
1655,48.06395,6,JB,Short,#N/A
1656,44.00474,6,JB,Short,#N/A
1641,20.93156,7,JB,Short,#N/A
1642,61.33647,7,JB,Short,#N/A
1643,31.90734,2,JB,Short,#N/A
1644,27.74188,2,JB,Short,#N/A
1645,34.81548,2,JB,Short,#N/A
1646,13.21747,2,JB,Short,#N/A
1647,93.27474,2,JB,Short,1
1648,27.8831,3,JB,Short,#N/A
1633,7.41664,7,JB,Short,#N/A
1634,52.91931,7,JB,Short,#N/A
1635,57.125,7,JB,Short,#N/A
1636,18.97159,5,JB,Short,#N/A
1637,38.00479,1,JB,Short,#N/A
1638,67.76772,1,JB,Short,#N/A
1639,163.92239,1,JB,Short,#N/A
1640,79.69732,1,JB,Short,#N/A
1625,85.39117,1,JB,Short,#N/A
1626,37.51605,1,JB,Short,#N/A
1627,36.20052,1,JB,Short,#N/A
1628,102.74396,8,JB,Short,#N/A
1629,58.12958,7,JB,Short,#N/A
1630,29.34199,7,JB,Short,#N/A
1631,28.9654,7,JB,Short,#N/A
1632,33.09628,7,JB,Short,#N/A
1617,21.26743,5,JB,Short,#N/A
1618,28.59045,5,JB,Short,#N/A
1619,28.86862,5,JB,Short,#N/A
1620,17.09012,5,JB,Short,#N/A
1621,87.32652,1,JB,Short,#N/A
1622,29.27466,1,JB,Short,#N/A
1623,29.62416,1,JB,Short,#N/A
1624,85.63654,1,JB,Short,#N/A
1609,19.34841,7,JB,Short,#N/A
1610,30.71835,7,JB,Short,#N/A
1611,89.49419,7,JB,Short,#N/A
1612,19.65599,7,JB,Short,#N/A
1613,2.29579,7,JB,Short,#N/A
1614,31.79797,7,JB,Short,#N/A
1615,38.20946,7,JB,Short,#N/A
1616,35.7759,7,JB,Short,#N/A
1601,9.2643,1,JB,Short,#N/A
1602,31.85697,1,JB,Short,#N/A
1603,34.23573,1,JB,Short,#N/A
1604,12.63254,1,JB,Short,#N/A
1605,3.72075,1,JB,Short,#N/A
1606,17.72902,7,JB,Short,#N/A
1607,8.63242,7,JB,Short,#N/A
1608,16.51682,7,JB,Short,#N/A
1593,18.8605,1,JB,Short,#N/A
1594,48.72403,1,JB,Short,#N/A
1595,56.34248,1,JB,Short,#N/A
1596,1.04708,1,JB,Short,#N/A
1597,6.52671,1,JB,Short,#N/A
1598,11.28205,1,JB,Short,#N/A
1599,31.14437,1,JB,Short,#N/A
1600,187.49944,1,JB,Short,#N/A
1585,29.84982,5,JB,Short,#N/A
1586,39.06744,5,JB,Short,#N/A
1587,100.74367,5,JB,Short,#N/A
1588,8.38528,5,JB,Short,#N/A
1589,34.85561,1,JB,Short,#N/A
1590,28.69518,1,JB,Short,#N/A
1591,168.90856,1,JB,Short,#N/A
1592,21.3212,1,JB,Short,#N/A
1577,14.59725,5,JB,Short,#N/A
1578,156.72909,5,JB,Short,#N/A
1579,16.63682,5,JB,Short,#N/A
1580,68.52229,5,JB,Short,#N/A
1581,30.59565,5,JB,Short,#N/A
1582,60.32082,5,JB,Short,#N/A
1583,31.16684,5,JB,Short,#N/A
1584,31.24218,5,JB,Short,#N/A
1569,78.04749,8,PP,Short,#N/A
1570,30.17069,5,JB,Short,#N/A
1571,21.25702,5,JB,Short,#N/A
1572,26.51059,1,JB,Short,#N/A
1573,95.80985,1,JB,Short,#N/A
1574,25.36838,1,JB,Short,#N/A
1575,29.89592,7,JB,Short,#N/A
1576,29.06807,5,JB,Short,#N/A
1561,36.68144,7,PP,Short,#N/A
1562,177.46259,7,PP,Short,#N/A
1563,129.2426,7,PP,Short,#N/A
1564,10.78184,7,PP,Short,#N/A
1565,11.10326,7,PP,Short,#N/A
1566,28.44405,7,PP,Short,#N/A
1567,8.05926,5,PP,Short,#N/A
1568,47.78641,1,PP,Short,#N/A
1553,34.00782,1,PP,Short,#N/A
1554,23.99087,1,PP,Short,#N/A
1555,29.57708,1,PP,Short,#N/A
1556,28.42968,1,PP,Short,#N/A
1557,29.90192,1,PP,Short,#N/A
1558,31.34641,1,PP,Short,#N/A
1559,28.97075,8,PP,Short,#N/A
1560,28.229,8,PP,Short,#N/A
1545,87.57609,5,PP,Short,#N/A
1546,28.37141,5,PP,Short,#N/A
1547,57.67469,5,PP,Short,#N/A
1548,30.81742,5,PP,Short,#N/A
1549,40.14913,5,PP,Short,#N/A
1550,29.42409,3,PP,Short,#N/A
1551,19.85953,1,PP,Short,#N/A
1552,30.67545,1,PP,Short,#N/A
1537,34.75209,7,PP,Tall,#N/A
1538,9.20574,7,PP,Tall,#N/A
1539,31.97021,7,PP,Tall,#N/A
1540,89.28415,7,PP,Tall,#N/A
1541,28.66088,5,PP,Short,#N/A
1542,31.35089,5,PP,Short,#N/A
1543,34.23932,5,PP,Short,#N/A
1544,29.49215,5,PP,Short,#N/A
2041,35.59633,2,JB,Short,1
2042,30.55008,2,JB,Short,#N/A
2043,4.85965,2,JB,Short,#N/A
2044,93.52616,3,JB,Short,1
2045,92.96163,3,JB,Short,#N/A
2046,28.55342,3,JB,Short,#N/A
2047,13.41894,3,JB,Short,#N/A
2048,28.4103,1,JB,Short,#N/A
2033,2.53217,4,JB,Short,#N/A
2034,22.16167,4,JB,Short,#N/A
2035,84.31798,5,JB,Short,1
2036,205.36381,5,JB,Short,1
2037,1.11569,5,JB,Short,#N/A
2038,147.8276,2,JB,Short,1
2039,58.33473,2,JB,Short,#N/A
2040,67.52141,2,JB,Short,#N/A
2025,39.44733,7,JB,Short,#N/A
2026,48.3348,7,JB,Short,#N/A
2027,10.24175,7,JB,Short,#N/A
2028,23.08758,7,JB,Short,#N/A
2029,43.06225,4,JB,Short,1
2030,63.31165,4,JB,Short,#N/A
2031,11.09718,4,JB,Short,#N/A
2032,0.87966,4,JB,Short,#N/A
2017,1.07329,6,JB,Short,#N/A
2018,6.07989,6,JB,Short,#N/A
2019,31.31407,6,JB,Short,#N/A
2020,149.90552,6,JB,Short,#N/A
2021,34.10751,6,JB,Short,#N/A
2022,58.96471,6,JB,Short,#N/A
2023,7.99758,6,JB,Short,#N/A
2024,99.62632,6,JB,Short,#N/A
2009,0.10655,8,JB,Short,#N/A
2010,0.07051,8,JB,Short,#N/A
2011,15.99659,8,JB,Short,#N/A
2012,64.28215,8,JB,Short,#N/A
2013,48.7388,6,JB,Short,#N/A
2014,78.76807,6,JB,Short,#N/A
2015,65.11268,6,JB,Short,#N/A
2016,49.43673,6,JB,Short,#N/A
2001,29.09722,8,JB,Short,#N/A
2002,66.88529,8,JB,Short,#N/A
2003,31.14606,8,JB,Short,#N/A
2004,57.74546,8,JB,Short,#N/A
2005,8.23375,8,JB,Short,#N/A
2006,0.08933,8,JB,Short,#N/A
2007,0.54351,8,JB,Short,#N/A
2008,0.50884,8,JB,Short,#N/A
1993,44.73938,8,JB,Short,#N/A
1994,31.72803,8,JB,Short,#N/A
1995,65.29742,8,JB,Short,#N/A
1996,104.97127,8,JB,Short,#N/A
1997,29.11778,8,JB,Short,#N/A
1998,20.89154,8,JB,Short,#N/A
1999,25.94024,8,JB,Short,#N/A
2000,75.66613,8,JB,Short,#N/A
1985,182.59096,1,JB,Short,#N/A
1986,89.09956,1,JB,Short,#N/A
1987,74.7245,1,JB,Short,#N/A
1988,38.96879,1,JB,Short,#N/A
1989,24.33528,1,JB,Short,#N/A
1990,197.80039,8,JB,Short,1
1991,36.25151,8,JB,Short,#N/A
1992,57.06744,8,JB,Short,#N/A
1977,29.74103,3,JB,Short,#N/A
1978,26.75978,3,JB,Short,#N/A
1979,31.28218,3,JB,Short,#N/A
1980,1.65379,3,JB,Short,#N/A
1981,1.71639,3,JB,Short,#N/A
1982,31.88718,1,JB,Short,#N/A
1983,34.03141,1,JB,Short,1
1984,46.26862,1,JB,Short,#N/A
1969,0.68249,3,JB,Short,#N/A
1970,59.95704,3,JB,Short,#N/A
1971,32.67279,3,JB,Short,#N/A
1972,32.60635,3,JB,Short,#N/A
1973,34.6197,3,JB,Short,#N/A
1974,29.77452,3,JB,Short,#N/A
1975,12.73233,3,JB,Short,#N/A
1976,36.6319,3,JB,Short,#N/A
1961,15.0249,2,JB,Short,#N/A
1962,10.11403,2,JB,Short,#N/A
1963,13.16982,2,JB,Short,#N/A
1964,0.14761,3,JB,Short,#N/A
1965,68.74659,3,JB,Short,#N/A
1966,46.10277,3,JB,Short,#N/A
1967,1.64263,3,JB,Short,#N/A
1968,25.13189,3,JB,Short,#N/A
1953,6.88679,2,JB,Short,#N/A
1954,1.97863,2,JB,Short,#N/A
1955,53.26912,2,JB,Short,#N/A
1956,24.36828,2,JB,Short,#N/A
1957,27.55355,2,JB,Short,#N/A
1958,33.96926,2,JB,Short,#N/A
1959,24.12959,2,JB,Short,#N/A
1960,38.27192,2,JB,Short,1
1945,36.04249,5,JB,Short,#N/A
1946,28.78903,5,JB,Short,#N/A
1947,29.41397,5,JB,Short,#N/A
1948,53.39078,5,JB,Short,#N/A
1949,21.47298,5,JB,Short,#N/A
1950,31.80849,5,JB,Short,#N/A
1951,7.39465,5,JB,Short,#N/A
1952,16.9918,2,JB,Short,#N/A
1937,61.67013,3,JB,Short,#N/A
1938,30.63321,8,JB,Short,#N/A
1939,36.66703,8,JB,Short,#N/A
1940,29.05495,6,JB,Short,#N/A
1941,31.758,6,JB,Short,#N/A
1942,22.82327,5,JB,Short,1
1943,32.22147,5,JB,Short,1
1944,46.53794,5,JB,Short,#N/A
1929,38.76028,6,JB,Short,#N/A
1930,6.29441,6,JB,Short,#N/A
1931,2.21365,6,JB,Short,#N/A
1932,25.8111,4,JB,Short,#N/A
1933,54.33815,2,JB,Short,1
1934,41.36303,2,JB,Short,1
1935,1.08539,2,JB,Short,#N/A
1936,45.88079,2,JB,Short,#N/A
1921,5.4571,2,JB,Short,#N/A
1922,25.6728,3,JB,Short,#N/A
1923,37.77387,3,JB,Short,#N/A
1924,28.90113,3,JB,Short,#N/A
1925,21.25148,8,JB,Short,1
1926,37.62045,8,JB,Short,#N/A
1927,31.04583,6,JB,Short,#N/A
1928,35.77986,6,JB,Short,#N/A
1913,29.28874,6,JB,Short,#N/A
1914,7.64121,6,JB,Short,#N/A
1915,30.96998,4,JB,Short,#N/A
1916,24.08416,5,JB,Short,#N/A
1917,34.27448,5,JB,Short,1
1918,97.9479,2,JB,Short,#N/A
1919,100.65221,2,JB,Short,1
1920,36.00323,2,JB,Short,1
1905,120.006,2,JB,Short,#N/A
1906,22.81587,2,JB,Short,#N/A
1907,30.70004,2,JB,Short,#N/A
1908,32.19734,3,JB,Short,#N/A
1909,2.02653,3,JB,Short,#N/A
1910,29.50911,3,JB,Short,#N/A
1911,31.62599,8,JB,Short,1
1912,64.18894,8,JB,Short,1
1897,19.65264,8,JB,Short,#N/A
1898,42.72427,8,JB,Short,#N/A
1899,48.3239,6,JB,Short,#N/A
1900,34.34864,6,JB,Short,#N/A
1901,30.29194,6,JB,Short,#N/A
1902,31.26488,6,JB,Short,#N/A
1903,3.49502,5,JB,Short,#N/A
1904,34.29649,5,JB,Short,#N/A
1889,28.94351,5,JB,Short,1
1890,66.80484,2,JB,Short,#N/A
1891,1.44535,2,JB,Short,#N/A
1892,54.82924,2,JB,Short,#N/A
1893,4.1892,2,JB,Short,#N/A
1894,32.94548,3,JB,Short,#N/A
1895,12.3921,3,JB,Short,#N/A
1896,31.166,3,JB,Short,#N/A
1881,28.83618,7,JB,Short,#N/A
1882,0.8307,4,JB,Short,#N/A
1883,37.89721,4,JB,Short,#N/A
1884,12.71747,4,JB,Short,#N/A
1885,31.00531,4,JB,Short,#N/A
1886,28.86721,4,JB,Short,#N/A
1887,6.44099,5,JB,Short,#N/A
1888,35.8502,5,JB,Short,1
1873,30.69695,6,JB,Short,#N/A
1874,28.23623,6,JB,Short,#N/A
1875,26.39176,6,JB,Short,#N/A
1876,20.15748,6,JB,Short,#N/A
1877,30.389,7,JB,Short,#N/A
1878,46.57177,7,JB,Short,#N/A
1879,30.47344,7,JB,Short,#N/A
1880,11.90011,7,JB,Short,1
1865,32.4139,8,JB,Short,#N/A
1866,15.78477,6,JB,Short,#N/A
1867,48.62989,6,JB,Short,#N/A
1868,67.54687,6,JB,Short,#N/A
1869,7.67813,6,JB,Short,#N/A
1870,100.57535,6,JB,Short,1
1871,28.84555,6,JB,Short,#N/A
1872,69.12516,6,JB,Short,#N/A
1857,20.04259,8,JB,Short,#N/A
1858,53.50142,8,JB,Short,#N/A
1859,28.62798,8,JB,Short,#N/A
1860,124.03018,8,JB,Short,1
1861,100.86438,8,JB,Short,#N/A
1862,57.65769,8,JB,Short,#N/A
1863,115.33069,8,JB,Short,#N/A
1864,31.57828,8,JB,Short,#N/A
1849,92.72661,1,JB,Short,#N/A
1850,0.7288,1,JB,Short,#N/A
